WINNING_TEAM, LOSING_TEAM
Cent Arkansas,Lamar
Albany NY,New Hampshire
UT Arlington,San Jose St
UC Davis,UC Riverside
Ga Southern,UNC Greensboro
W Kentucky,South Alabama
Alcorn St,Prairie View
Jackson St,Alabama St
Col Charleston,Wofford
Virginia,Duke
Gonzaga,BYU
Temple,Detroit
Drexel,Old Dominion
Lipscomb,Jacksonville
Hawaii,Santa Barbara
Central Conn,St Francis PA
Appalachian St,Samford
FL Gulf Coast,Mercer
W Illinois,Missouri KC
Nicholls St,Sam Houston St
Long Island,Sacred Heart
Robert Morris,Bryant
Texas St,Seattle
McNeese St,Oral Roberts
TN Martin,Murray St
Montana St,Southern Utah
SC Upstate,ETSU
Loyola-Chicago,Cleveland St
Brown,Cornell
Columbia,Yale
Dartmouth,Penn
Princeton,Harvard
Iona,Loyola MD
Manhattan,Fairfield
Marist,Siena
Davidson,Ga Southern
La Salle,Duquesne
Austin Peay,TN Martin
VA Commonwealth,Butler
Minnesota,Penn St
Gonzaga,Portland
Houston,Marshall
Wright St,Youngstown St
N Dakota St,NE Omaha
Louisiana Tech,San Jose St
St Joseph's PA,Fordham
Appalachian St,Chattanooga
Kansas,West Virginia
Bryant,St Francis PA
Col Charleston,Furman
NC A&T,S Carolina St
Southern Univ,Prairie View
St Bonaventure,Charlotte
Mt St Mary's,F Dickinson
Kent,Miami OH
Robert Morris,Central Conn
Southern Miss,East Carolina
Valparaiso,WI Green Bay
Gardner Webb,Presbyterian
C Michigan,N Illinois
TX Southern,Alcorn St
FL Gulf Coast,Kennesaw
Oral Roberts,Lamar
Texas A&M,South Carolina
Liberty,Radford
Oklahoma,Iowa St
UNLV,Nevada
Niagara,St Peter's
FL Atlantic,Florida Intl
Evansville,Indiana St
California,Colorado
Drexel,UNC Wilmington
Bucknell,Navy
Seattle,UT San Antonio
SE Missouri St,Murray St
Holy Cross,Colgate
E Illinois,Edwardsville
UT Arlington,Utah St
Fresno St,Air Force
Buffalo,Akron
VMI,Longwood
Ball St,Toledo
Elon,UNC Greensboro
Morgan St,MD E Shore
Purdue,Wisconsin
Ohio,Bowling Green
St Mary's CA,Santa Clara
Oklahoma St,Texas
Missouri,LSU
Arkansas,Kentucky
Indiana,Iowa
Boise St,Colorado St
Georgetown,Rutgers
Florida,Alabama
Creighton,Wichita St
Tulsa,Tulane
Detroit,IL Chicago
St Francis NY,Sacred Heart
Mercer,Stetson
Alabama St,Grambling
UTEP,Rice
New Mexico,Wyoming
NJIT,Houston Bap
Charleston So,Coastal Car
Maryland,Wake Forest
Georgia,Tennessee
Wagner,Monmouth NJ
N Colorado,Portland St
Memphis,UCF
Winthrop,UNC Asheville
Hampton,Florida A&M
Texas Tech,TCU
Sam Houston St,SE Louisiana
Yale,Cornell
Idaho,Texas St
Santa Barbara,CS Northridge
St Louis,G Washington
Northern Iowa,Illinois St
Missouri St,Bradley
Lafayette,American Univ
Marquette,Notre Dame
ULL,ULM
Middle Tenn St,W Kentucky
Virginia Tech,Clemson
Old Dominion,Northeastern
Illinois,Nebraska
Utah Valley,Chicago St
San Diego,Pepperdine
Belmont,Jacksonville St
Wofford,Citadel
North Florida,Lipscomb
Ark Little Rock,Arkansas St
Vanderbilt,Auburn
Temple,Rhode Island
Lehigh,Army
Long Island,Quinnipiac
Mississippi St,Mississippi
Denver,New Mexico St
Tennessee Tech,Morehead St
Louisville,Syracuse
Cincinnati,Connecticut
Massachusetts,Xavier
Delaware,George Mason
Princeton,Dartmouth
UAB,SMU
UCLA,Arizona
Rider,Canisius
Dayton,Richmond
NC Central,Savannah St
North Dakota,E Washington
N Kentucky,Jacksonville
Missouri KC,IUPUI
South Alabama,Troy
TAM C. Christi,Nicholls St
Tennessee St,E Kentucky
BYU,Loy Marymount
Towson,Hofstra
Penn,Harvard
Delaware St,Howard
Duke,Miami FL
Brown,Columbia
Kansas St,Baylor
Providence,St John's
S Illinois,Drake
Jackson St,Alabama A&M
Montana,Montana St
UC Davis,CS Fullerton
UC Irvine,Long Beach St
Cal Poly SLO,Hawaii
W Carolina,Samford
W Illinois,South Dakota
Weber St,Northern Arizona
James Madison,William & Mary
IPFW,Oakland
Pacific,UC Riverside
E Michigan,W Michigan
Michigan,Michigan St
USC,Arizona St
Norfolk St,Bethune-Cookman
High Point,Campbell
Cent Arkansas,McNeese St
SF Austin,Northwestern LA
CS Sacramento,Idaho St
North Carolina,Florida St
Iona,Siena
Stanford,Utah
TX Pan American,New Orleans
Marist,Fairfield
NC State,Georgia Tech
MD Baltimore Co,Binghamton
South Florida,DePaul
Pittsburgh,Villanova
Stony Brook,Albany NY
New Hampshire,Maine
Washington,Washington St
Hartford,Vermont
Loyola MD,Manhattan
Boston College,Virginia
Kansas,Texas Tech
Morgan St,Delaware St
Louisville,Cincinnati
Montana,Southern Utah
Norfolk St,Florida A&M
Hampton,Bethune-Cookman
Texas,Baylor
NC Central,S Carolina St
Coppin St,MD E Shore
NC A&T,Savannah St
Missouri,Arkansas
Duke,Virginia Tech
Notre Dame,St John's
Toledo,N Illinois
IL Chicago,Cleveland St
Liberty,Coastal Car
WI Green Bay,WI Milwaukee
Longwood,UNC Asheville
Akron,Miami OH
Kansas St,TCU
Providence,Seton Hall
Ohio St,Indiana
Kent,Bowling Green
Iowa,Illinois
Campbell,Presbyterian
Boston College,Clemson
Marquette,Rutgers
Ball St,W Michigan
Mississippi,Alabama
Ohio,Buffalo
Memphis,UTEP
C Michigan,E Michigan
Winthrop,Radford
Youngstown St,Loyola-Chicago
St Joseph's PA,Rhode Island
Mercer,Lipscomb
Florida,Vanderbilt
Lafayette,Holy Cross
Houston,Rice
Colorado St,Wyoming
Wagner,Central Conn
Syracuse,DePaul
Army,American Univ
Temple,Fordham
Robert Morris,St Francis NY
Bucknell,Navy
NC State,Wake Forest
La Salle,G Washington
South Florida,Connecticut
New Mexico,Nevada
Oklahoma,West Virginia
Stanford,California
Dayton,St Bonaventure
Washington St,UCLA
Xavier,St Louis
Iowa St,Oklahoma St
North Carolina,Maryland
VA Commonwealth,Richmond
LSU,Texas A&M
Loy Marymount,Portland
Villanova,Georgetown
FL Gulf Coast,North Florida
SE Missouri St,E Illinois
Washington,USC
Long Island,Quinnipiac
South Carolina,Mississippi St
Tennessee,Auburn
San Diego St,Air Force
Lehigh,Colgate
Morehead St,TN Martin
SMU,Tulsa
Mt St Mary's,Bryant
Michigan,Purdue
Marshall,Southern Miss
UNLV,Boise St
UCF,UAB
East Carolina,Tulane
Charlotte,Duquesne
Georgia Tech,Miami FL
Nebraska,Minnesota
CS Bakersfield,Seattle
Denver,UT Arlington
Weber St,Portland St
Nicholls St,Lamar
Colorado,Oregon
Stetson,ETSU
New Mexico St,Louisiana Tech
Savannah St,MD E Shore
Utah St,Texas St
Santa Barbara,CS Fullerton
Northwestern LA,TAM C. Christi
Michigan St,Wisconsin
SF Austin,Sam Houston St
Drake,Bradley
E Kentucky,SE Missouri St
E Washington,Idaho St
Gardner Webb,Campbell
SC Upstate,Jacksonville
CS Northridge,Hawaii
Tennessee St,Morehead St
Butler,Massachusetts
Morgan St,Florida A&M
SE Louisiana,McNeese St
Montana,CS Sacramento
Utah,Oregon St
Georgia,Kentucky
Coppin St,Bethune-Cookman
N Colorado,Southern Utah
Pacific,UC Irvine
Missouri St,S Illinois
Penn St,Northwestern
Norfolk St,NC A&T
Charleston So,Winthrop
Cal Poly SLO,UC Riverside
Montana St,Northern Arizona
NC Central,Hampton
VMI,Longwood
San Diego,Pepperdine
S Carolina St,Delaware St
Florida St,Virginia
Long Beach St,UC Davis
Liberty,High Point
Loy Marymount,San Francisco
ULL,North Texas
Ga Southern,Wofford
W Carolina,Citadel
Dartmouth,Cornell
W Kentucky,ULM
FL Gulf Coast,Stetson
Creighton,Drake
Wichita St,Missouri St
Belmont,Tennessee St
Mercer,SC Upstate
Murray St,E Kentucky
Illinois St,Northern Iowa
Wright St,Youngstown St
Fairfield,St Peter's
UNC Greensboro,Chattanooga
Siena,Marist
Yale,Princeton
Rutgers,Seton Hall
Harvard,Columbia
Furman,Samford
San Diego,BYU
Penn,Brown
Loy Marymount,Santa Clara
Troy,FL Atlantic
Indiana St,Evansville
WI Green Bay,IL Chicago
Davidson,Ga Southern
Washington St,USC
St Louis,La Salle
Richmond,Duquesne
Denver,Louisiana Tech
Baylor,Kansas
Texas St,San Jose St
Stony Brook,Binghamton
Georgetown,Syracuse
Creighton,Indiana St
Pacific,Long Beach St
Utah St,UT San Antonio
Vermont,New Hampshire
Gonzaga,Loy Marymount
TX Pan American,NJIT
S Dakota St,IUPUI
Purdue,Minnesota
Louisville,Notre Dame
Montana St,CS Sacramento
Duke,North Carolina
Memphis,UAB
Pittsburgh,DePaul
Arizona,Arizona St
CS Bakersfield,Utah Valley
Wichita St,Illinois St
Florida Intl,Ark Little Rock
Middle Tenn St,ULL
Iowa,Nebraska
Mississippi,LSU
SE Louisiana,Lamar
Yale,Penn
Appalachian St,Furman
Miami FL,Clemson
UTEP,SMU
Brown,Princeton
Chicago St,Houston Bap
Montana,Northern Arizona
FL Gulf Coast,Mercer
Lafayette,Lehigh
Charlotte,St Joseph's PA
Long Island,Wagner
Niagara,Siena
Bowling Green,Buffalo
Toledo,E Michigan
Arkansas,Texas A&M
Northwestern LA,Sam Houston St
Colorado St,Nevada
Vanderbilt,South Carolina
Utah,Oregon
Santa Barbara,UC Riverside
Massachusetts,Rhode Island
Iowa St,West Virginia
Fresno St,UNLV
Harvard,Cornell
SF Austin,TAM C. Christi
Mt St Mary's,Robert Morris
Southern Miss,UCF
Cincinnati,South Florida
Weber St,E Washington
Bucknell,Army
Col Charleston,W Carolina
UCLA,Washington
North Dakota,Southern Utah
East Carolina,Marshall
MD Baltimore Co,Hartford
Elon,UNC Greensboro
Tulsa,Rice
Oklahoma St,Kansas St
Oregon St,Colorado
Dartmouth,Columbia
Charleston So,VMI
George Mason,Drexel
Butler,Xavier
Delaware,Hofstra
James Madison,William & Mary
Arkansas St,Troy
Kent,Akron
Connecticut,Providence
Fordham,St Bonaventure
Ohio,Miami OH
Kentucky,Florida
Florida St,NC State
Boise St,San Diego St
Idaho,Seattle
Iona,Canisius
W Michigan,C Michigan
TCU,Oklahoma
Alabama,Georgia
McNeese St,Nicholls St
Mississippi St,Auburn
New Mexico St,UT Arlington
UC Irvine,UC Davis
Liberty,Gardner Webb
W Kentucky,South Alabama
Manhattan,Loyola MD
St Mary's CA,San Diego
Ball St,N Illinois
Boston College,Georgia Tech
Marquette,St John's
Texas,Texas Tech
Tennessee,Missouri
Cent Arkansas,Oral Roberts
Houston,Tulane
Cal Poly SLO,CS Fullerton
Wright St,Detroit
Belmont,Murray St
G Washington,Dayton
Air Force,New Mexico
Idaho St,Portland St
Fairfield,Rider
Albany NY,Maine
Valparaiso,WI Green Bay
W Illinois,South Dakota
IPFW,Oakland
Manhattan,Fairfield
Ohio St,Illinois
Vermont,MD Baltimore Co
Wake Forest,Virginia Tech
Liberty,Charleston So
N Dakota St,Missouri KC
Michigan St,Northwestern
Temple,VA Commonwealth
Col Charleston,Elon
Iona,Niagara
Florida Intl,Middle Tenn St
Wisconsin,Penn St
Virginia,Maryland
Creighton,Wichita St
Davidson,Appalachian St
Northeastern,George Mason
Albany NY,Stony Brook
W Kentucky,Arkansas St
Indiana,Michigan
James Madison,Delaware
Davidson,Col Charleston
S Dakota St,IPFW
Savannah St,MD E Shore
Gonzaga,St Mary's CA
James Madison,Northeastern
N Dakota St,W Illinois
Miami OH,Bowling Green
Morgan St,S Carolina St
Iona,Manhattan
Buffalo,C Michigan
W Kentucky,Florida Intl
E Michigan,N Illinois
Long Island,Mt St Mary's
Rutgers,DePaul
UT San Antonio,San Jose St
Princeton,Penn
Delaware St,Howard
Texas St,Seattle
Bethune-Cookman,Coppin St
NC A&T,Florida A&M
Valparaiso,Wright St
S Dakota St,N Dakota St
Seton Hall,South Florida
Wyoming,Nevada
Cincinnati,Providence
UNLV,Air Force
Buffalo,Ball St
Villanova,St John's
Texas,TCU
New Mexico,Wyoming
NC A&T,NC Central
Syracuse,Seton Hall
Mississippi St,South Carolina
E Michigan,Miami OH
Texas A&M,Auburn
Bucknell,Lafayette
Alabama A&M,Grambling
Notre Dame,Rutgers
Colorado St,Fresno St
Colorado,Oregon St
Sam Houston St,Cent Arkansas
San Diego St,Boise St
Houston,Rice
McNeese St,Nicholls St
Utah,USC
Texas Tech,West Virginia
Tulane,Marshall
Washington,Washington St
Bethune-Cookman,Norfolk St
Arizona St,Stanford
UAB,SMU
Kansas,Texas Tech
Weber St,Northern Arizona
Cal Poly SLO,UC Davis
Boston College,Georgia Tech
SE Louisiana,McNeese St
Georgetown,Cincinnati
Louisville,Villanova
Michigan,Penn St
NC State,Virginia Tech
North Dakota,Southern Utah
Kansas St,Texas
New Mexico St,Idaho
Tennessee,Mississippi St
Southern Miss,UAB
W Michigan,E Michigan
Iowa,Northwestern
Maryland,Wake Forest
N Colorado,Montana St
Memphis,Tulane
Missouri,Texas A&M
UC Irvine,Hawaii
UTEP,Houston
Arizona,Colorado
Utah,California
Long Beach St,CS Fullerton
Prairie View,Alcorn St
Notre Dame,Marquette
Iowa St,Oklahoma
Jackson St,Alabama St
Tulsa,East Carolina
Butler,Dayton
UT San Antonio,Louisiana Tech
San Francisco,N Kentucky
Charlotte,Richmond
LSU,Georgia
Massachusetts,G Washington
UT Arlington,Utah St
UCLA,Arizona St
Florida St,Clemson
Texas St,Denver
Pacific,Santa Barbara
Vanderbilt,Arkansas
Morgan St,Savannah St
Syracuse,Pittsburgh
Delaware St,Hampton
Sam Houston St,Oral Roberts
Oregon,Washington
Oklahoma St,Baylor
Illinois,Minnesota
Houston Bap,Utah Valley
Nebraska,Purdue
Kent,Buffalo
St Joseph's PA,Xavier
Florida,LSU
Ohio St,Nebraska
North Carolina,Florida St
NC State,Virginia
Oregon,Utah
Southern Miss,UTEP
St Louis,Charlotte
Indiana,Illinois
Vanderbilt,Kentucky
UT Arlington,UT San Antonio
Kansas,Iowa St
Montana,N Colorado
Southern Univ,Alabama A&M
Prairie View,Jackson St
Louisville,Notre Dame
Miami FL,Boston College
Butler,La Salle
Morgan St,Bethune-Cookman
SF Austin,SE Louisiana
Memphis,Tulsa
Ohio,W Michigan
Kansas St,Oklahoma St
New Mexico,San Diego St
UNLV,Colorado St
Alabama,Tennessee
Wisconsin,Michigan
Maryland,Duke
New Mexico St,Texas St
Chicago St,TX Pan American
UC Irvine,Long Beach St
NC A&T,Delaware St
Massachusetts,Temple
Akron,Kent
VA Commonwealth,St Joseph's PA
Syracuse,Georgetown
Northwestern LA,Sam Houston St
Michigan St,Iowa
Weber St,North Dakota
UCLA,Arizona
Mississippi,Missouri
Pacific,Cal Poly SLO
Houston Bap,NJIT
Akron,Ohio
Louisville,Syracuse
Kansas,Kansas St
Chicago St,Houston Bap
Wisconsin,Indiana
Memphis,Southern Miss
Mississippi,Vanderbilt
St Louis,Butler
Miami FL,NC State
Florida,Alabama
Oregon,UCLA
VA Commonwealth,Massachusetts
Pacific,UC Irvine
New Mexico St,UT Arlington
New Mexico,UNLV
Albany NY,Vermont
Ohio St,Michigan St
North Carolina,Maryland
NC A&T,Morgan St
Montana,Weber St
Northwestern LA,SF Austin
Southern Univ,Prairie View
Miami FL,North Carolina
Ohio St,Wisconsin
St Louis,VA Commonwealth
Mississippi,Florida
